Wavelength (nm),14k,11k,8k,5k,3k
453,0.63218515,0.590217391,0.59896003,0.676262483,0.44635134
454,0.627939407,0.586369696,0.597720802,0.673747209,0.445709277
455,0.630614589,0.588688886,0.602227347,0.68026021,0.449833238
456,0.628377237,0.588564347,0.602396683,0.681505022,0.450589228
457,0.620789024,0.582325138,0.598127817,0.677097228,0.448951711
458,0.621151818,0.583555713,0.601872818,0.683124164,0.451620929
459,0.615125877,0.578568228,0.598153855,0.67827754,0.451080387
460,0.609896172,0.574923671,0.595756353,0.67802947,0.450008279
461,0.604697098,0.570916493,0.592149579,0.675563291,0.449466981
462,0.599774512,0.566078799,0.590084225,0.673035321,0.448461566
463,0.593808798,0.560908706,0.587113259,0.669538246,0.44727241
464,0.597709791,0.56704178,0.597663569,0.682684294,0.454481338
465,0.591015817,0.562012903,0.591315906,0.6793632,0.453150349
466,0.583418781,0.556935528,0.588630705,0.677024341,0.453418946
467,0.569825039,0.542605294,0.576188553,0.66285312,0.446136667
468,0.566033924,0.540700115,0.57597965,0.663790494,0.446885048
469,0.566764917,0.543323758,0.582242576,0.669954701,0.45036093
470,0.559977824,0.537256472,0.577224402,0.668184982,0.450162699
471,0.557319196,0.536959056,0.579639041,0.672884799,0.452390949
472,0.552658576,0.533963607,0.58064087,0.673682132,0.453266359
473,0.547315529,0.529322513,0.57873896,0.672832574,0.454309657
474,0.540625213,0.525220041,0.57252691,0.669846344,0.455134474
475,0.533235273,0.517990646,0.569551985,0.666922586,0.452636672
476,0.527900579,0.513521249,0.56693352,0.667304693,0.453219571
477,0.515821533,0.504204504,0.559461438,0.658045186,0.447595812
478,0.512593606,0.50218814,0.559852886,0.661460509,0.450883806
479,0.507837335,0.499385085,0.558176679,0.66212608,0.451947638
480,0.498536711,0.490561583,0.552036323,0.656472433,0.449583434
481,0.496003826,0.48849055,0.552513731,0.66155189,0.451587529
482,0.48775094,0.481505642,0.547625894,0.657607094,0.450519066
483,0.480366951,0.476098491,0.543915894,0.655867965,0.449734515
484,0.473146017,0.469950328,0.539896918,0.653583154,0.449057507
485,0.466219887,0.463984149,0.535839498,0.651005339,0.448337472
486,0.459195348,0.458320702,0.531849093,0.648484143,0.447553878
487,0.452044385,0.452691759,0.527848769,0.646105514,0.446992493
488,0.445783658,0.446858336,0.5239348,0.643699622,0.446428364
489,0.439098238,0.441284438,0.520513362,0.64091396,0.445577671
490,0.432260566,0.435925365,0.516894,0.638610015,0.444888353
491,0.425870359,0.430423697,0.513092841,0.636635933,0.4439509
492,0.42070176,0.425263118,0.510188297,0.635943449,0.44551573
493,0.414994908,0.420510724,0.505761373,0.633200212,0.444352813
494,0.408824017,0.414789506,0.502828718,0.632091558,0.445226877
495,0.40203866,0.40785569,0.498015906,0.629515318,0.444087492
496,0.395948157,0.40395985,0.493857517,0.630876318,0.443858387
497,0.391323993,0.399158041,0.49199999,0.629483087,0.444733953
498,0.381557233,0.389506305,0.482038924,0.618607726,0.439073968
499,0.378698576,0.387745852,0.482370258,0.62402931,0.441849047
500,0.374399762,0.382742761,0.480253459,0.624523104,0.443145207
501,0.367837816,0.376215067,0.473030315,0.618753723,0.439976736
502,0.362997432,0.372289399,0.47007096,0.617362126,0.440853686
503,0.357367143,0.366769024,0.466077924,0.615511936,0.440632509
504,0.352204084,0.362495666,0.461445094,0.612317643,0.438936149
505,0.3454437,0.356368576,0.455606809,0.608035004,0.437448432
506,0.34375444,0.353184441,0.45364937,0.610712295,0.439588608
507,0.338443176,0.348404377,0.450481838,0.607773982,0.437653045
508,0.333623023,0.343290961,0.445014404,0.603970486,0.436515157
509,0.330058044,0.341158587,0.444078757,0.603654193,0.438805628
510,0.325133023,0.335609449,0.438206061,0.599750818,0.436716076
511,0.322010952,0.333072125,0.435277456,0.600435724,0.436572114
512,0.317749161,0.327171308,0.430993442,0.596500323,0.434871731
513,0.313994864,0.324040074,0.428055023,0.594086361,0.434707644
514,0.310366802,0.320301199,0.424124444,0.592782535,0.434558447
515,0.3064568,0.316447138,0.420470338,0.590224935,0.433047282
516,0.304227229,0.312917196,0.417804443,0.588720923,0.433914582
517,0.300376862,0.309792108,0.415202401,0.588555603,0.43308424
518,0.295447671,0.305702082,0.409297051,0.584017783,0.430400877
519,0.29332615,0.302981588,0.407590531,0.583198611,0.431307876
520,0.289326244,0.299783302,0.402820087,0.580398616,0.430512222
521,0.28613615,0.296008852,0.399623574,0.575933816,0.428081209
522,0.284185295,0.293733643,0.397453817,0.575894888,0.429210169
523,0.281050195,0.29009144,0.394451477,0.575094503,0.428347847
524,0.278195376,0.287601946,0.39129184,0.573922529,0.428821252
525,0.275542055,0.284386179,0.387726681,0.570266548,0.427657353
526,0.273059495,0.281972039,0.384590432,0.568298941,0.427144079
527,0.270412457,0.278250078,0.381755779,0.56687201,0.426139704
528,0.267013878,0.27633127,0.377541953,0.563396974,0.424638588
